ID,Severity,CWE,Type,Tool,Location,Path,FileName,Line,Status
165,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,98,Escalated
166,Info,,Not defined,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,153,Escalated
167,Info,,Not defined,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,79,Escalated
168,Info,,A leading decimal point can be confused with a dot,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,102,Escalated
169,Info,,A leading decimal point can be confused with a dot,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,101,False Positive
170,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,41,Escalated
171,Low,398,Disallow variable redeclaration,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,58,Escalated
172,Low,398,Disallow use of objectprototypes builtins directly,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,74,Escalated
173,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,20,Escalated
174,Info,,Expected an assignment or function call and saw an expression,JSHint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,95,Escalated
175,High,77,Command Injection,ESLint,whatsapp\client\lib\sjcl\js\sjcl-1.0.7.js,whatsapp\client\lib\sjcl\js,,20,Escalated
